NodeID,t,solar_Production,SpatialUsage,GridPurchaseCost,InstallationCost,O&MCost,GridPurchaseQuantity,GridPercentage,RenewablePercentage,TotalCost,wind_Production,InventoryUsage,InventoryPercentage,SalvageCost
1,1,9621726.834269997,28370.0,3.549933785293645,3.0944653267999995,0.044638220590268216,25414760.77673001,73.7961854699147,26.203814530085367,6.689037332683912,,,,
1,2,19195345.03436864,56740.0,2.9936728851777707,3.0016313669959995,0.08305857542731857,22095222.697371375,64.15732835334131,35.84267164665875,6.078362827601089,,,,
1,3,19099127.766025946,56740.0,2.9065074872198258,,0.08056681816449901,22115346.64919407,64.21576175329112,35.78423824670897,2.9870743053843247,,,,
1,4,19002910.497683242,56740.0,2.8218809715004376,,0.07814981361956404,22135496.204266734,64.2742694967376,35.72573050326233,2.9000307851200016,,,,
1,5,18906693.229340546,56740.0,2.739731278018097,,0.0758053192109771,22155767.773839414,64.33313153054128,35.666868469458684,2.815536597229074,,,,
2,6,18810475.960997842,143345.58573765543,1.5710120709512345,8.329720049289996,0.10953924817967578,13097446.233144844,38.03071686940162,47.9502199031178,10.010271368420906,5459451.614771992,4856878.796941366,14.102793713177626,
2,7,39029445.14702709,200242.15234380274,0.762885521718837,7.644997566394739,0.15083318797663722,6556842.335535697,19.038934001425535,53.32706181248954,8.558716276090214,5372100.38893564,10834970.891317096,31.461225564195196,
2,8,38831651.94641252,286651.15234380274,0.548658937496376,3.4682995443629987,0.1736291683342705,4861453.005643475,14.116075725025953,61.228883137993506,4.1905876501936445,10744200.77787128,11098560.4140268,32.2266036638239,
2,9,58949045.200169906,429799.15234380274,0.3316645869323729,7.160556017942948,0.2275864062639121,3029639.833733789,8.797087056667023,67.72223246771422,7.719807011139233,16028949.94097057,12141266.517143784,35.25428248607301,
2,10,99280048.97602737,543277.1523438027,0.2530644651093597,7.364832592227026,0.2837635753386835,2383149.743438485,6.9198904532043395,69.11992941699803,7.90166063267507,15766896.263461512,12623388.763532443,36.65420841991244,
3,6,28968069.064847164,171701.56935815595,1.3307955791232269,8.32972004929,0.13456442498764548,11094773.787651183,32.21560853446678,51.60858479469847,9.795080053400872,5459451.614771992,5635403.954760419,16.363377137280253,
3,7,28821063.83098522,171804.220239788,1.043338079337824,1.2916583505105506,0.1305274922380161,8967273.718166092,26.03804144681077,51.40642171435924,2.4655239220863905,5372100.38893564,8182427.6487398725,23.759104154678486,
3,8,28674058.59712327,171804.220239788,1.0252266493608118,,0.12661166747087563,9084133.758476924,26.377364932267138,51.20236808953091,1.1518383168316875,5284749.163099288,8099067.752126088,23.517054172571385,
3,9,28527053.363261327,171804.220239788,1.0074617493913158,,0.12281331744674936,9202810.210007194,26.721962684139662,50.99590700620292,1.1302750668380652,5197397.9372629365,8003701.881669346,23.24014275382731,
3,10,28380048.129399374,171804.220239788,0.9902729648840753,,0.11912891792334689,9325563.591781702,27.078398513226244,50.787910093640456,1.1094018828074221,5110046.711426584,7709736.059270992,22.386561776138638,
4,6,18810475.960997842,143345.58573765543,1.5710120709512339,8.329720049289996,0.10953924817967578,13097446.233144842,38.030716869401616,47.9502199031178,10.010271368420906,5459451.614771992,4844674.082286339,14.067355197969787,
4,7,40512697.34640655,200227.5682987058,0.7687430042935288,5.872691166063905,0.15083318797663722,6607186.179575195,19.185116123092754,53.525397757734645,6.792267358334072,5372100.38893564,10477990.415758098,30.424670563149864,
4,8,40307487.884795085,200227.5682987058,0.7578356322396026,,0.1463081923373381,6714886.171264227,19.497841811585925,53.33893865634851,0.9041438245769406,5284749.163099288,9839688.763983086,28.57125051745458,
4,9,61900717.07693504,256966.5682987058,0.5900626940569154,2.4431500116314933,0.1772868501949997,5390016.036531556,15.650850567198434,55.2357069724915,3.2104995558834086,5197397.9372629365,11246652.476720784,32.656614767260834,
4,10,83384954.07580622,313705.5682987058,0.5048544831655116,2.3698555112825486,0.20347062532049415,4754297.809096706,13.804931944138161,56.379661951692114,3.0781806197685544,5110046.711426584,11614152.7493156,33.72371583167387,
5,6,40608914.614749245,113875.3876764795,1.0042516646580337,7.818932662720286,0.12358151325058721,8372394.092707887,24.310704819161604,42.8548112527982,8.946765840628906,,11770562.799545672,34.17787966101455,
