NodeID,t,variable,event,quantity,cost_per_unit,total_cost,t_
1,1,grid,purchase,25414760.77673001,0.13968,3549933.785293647,
1,1,solarV4,installation,1.0,3094465.3268,3094465.3268,
1,2,grid,purchase,22095222.697371375,0.1354896,2993672.8851777683,
1,2,solarV4,installation,1.0,3001631.3669959996,3001631.3669959996,
1,3,grid,purchase,22115346.64919407,0.13142491199999998,2906507.4872198254,
1,4,grid,purchase,22135496.204266734,0.12748216463999998,2821880.9715004265,
1,5,grid,purchase,22155767.773839414,0.12365769970079998,2739731.278018096,
2,6,grid,purchase,13097446.233144844,0.11994796870977596,1571012.0709512308,
2,6,windV0,installation,1.0,3686151.0727633107,3686151.0727633107,
2,6,batteryV0,installation,22596.061799476363,205.50346417596964,4643568.976526688,
2,7,grid,purchase,6556842.335535697,0.11634952964848268,762885.521718837,
2,7,solarV5,installation,1.0,4034759.761835305,4034759.761835305,
2,7,batteryV0,installation,18111.10415486087,199.33836025069056,3610237.8045594348,
2,8,grid,purchase,4861453.005643475,0.11285904375902821,548658.9374963761,
2,8,windV0,installation,1.0,3468299.544362999,3468299.544362999,
2,9,grid,purchase,3029639.833733789,0.10947327244625736,331664.586932373,
2,9,solarV5,installation,1.0,3796305.459910839,3796305.459910839,
2,9,windV0,installation,1.0,3364250.5580321094,3364250.5580321094,
2,10,grid,purchase,2383149.743438485,0.10618907427286964,253064.4651093595,
2,10,solarV5,installation,2.0,3682416.2961135134,7364832.592227027,
3,6,grid,purchase,11094773.787651183,0.11994796870977596,1330795.5791232267,
3,6,solarV4,installation,1.0,2275244.918107837,2275244.918107837,
3,6,windV0,installation,1.0,3686151.0727633107,3686151.0727633107,
3,6,batteryV0,installation,20984.98369608612,112.85803661884967,2368324.0584188504,
3,7,grid,purchase,8967273.718166092,0.11634952964848268,1043338.0793378254,
3,7,batteryV0,installation,11798.951911730202,109.47229552028418,1291658.3505105507,
3,8,grid,purchase,9084133.758476924,0.11285904375902821,1025226.6493608126,
3,9,grid,purchase,9202810.210007194,0.10947327244625736,1007461.7493913166,
3,10,grid,purchase,9325563.591781702,0.10618907427286964,990272.9648840762,
4,6,grid,purchase,13097446.233144842,0.11994796870977596,1571012.0709512306,
4,6,windV0,installation,1.0,3686151.0727633107,3686151.0727633107,
4,6,batteryV0,installation,22596.061799476363,205.50346417596964,4643568.976526688,
4,7,grid,purchase,6607186.179575195,0.11634952964848268,768743.0042935292,
4,7,solarV5,installation,1.0,2596609.6414406346,2596609.6414406346,
4,7,batteryV0,installation,16434.77713222496,199.33836025069056,3276081.52462327,
4,8,grid,purchase,6714886.171264227,0.11285904375902821,757835.6322396027,
4,9,grid,purchase,5390016.036531556,0.10947327244625736,590062.6940569154,
4,9,solarV5,installation,1.0,2443150.0116314935,2443150.0116314935,
4,10,grid,purchase,4754297.809096706,0.10618907427286964,504854.4831655115,
4,10,solarV5,installation,1.0,2369855.5112825483,2369855.5112825483,
5,6,grid,purchase,8372394.092707887,0.11994796870977596,1004251.6646580388,
5,6,solarV5,installation,1.0,2676917.1561243655,2676917.1561243655,
5,6,batteryV0,installation,45561.80189419577,112.85803661884967,5142015.506595921,
5,7,grid,purchase,8449396.077685429,0.11634952964848268,983083.2594524341,
5,8,grid,purchase,8531955.354944235,0.11285904375902821,962908.3227537264,
5,9,grid,purchase,8616031.02091013,0.10947327244625736,943225.1113574997,
5,10,grid,purchase,8702363.06605317,0.10618907427286964,924095.8779705977,
6,11,grid,purchase,512139.58427522925,0.10300340204468354,52752.11950209853,
6,11,batteryV0,installation,63892.23078962108,111.95436350365729,7153014.030880802,
6,12,grid,purchase,217948.38986122873,0.09991329998334303,21775.942857091544,
6,12,batteryV0,installation,63892.23078962108,108.59573259854756,6938423.609954378,
6,13,grid,purchase,109564.75743548512,0.09691590098384273,10618.567182936224,
6,13,batteryV0,installation,63892.23078962108,105.33786062059113,6730270.901655746,
6,14,grid,purchase,50199.44643883018,0.09400842395432746,4719.170843094101,
6,14,batteryV0,installation,63892.23078962108,102.1777248019734,6528362.774606073,
6,15,solarV5,installation,1.0,2707543.3327779104,2707543.3327779104,
6,15,batteryV0,installation,36574.32180526414,99.11239305791419,3624968.558589981,
7,11,grid,purchase,968910.911468432,0.10300340204468354,99801.1201594637,
7,11,batteryV0,installation,27495.610007940333,61.482903495566546,1690509.9366699292,
7,12,grid,purchase,972669.1166508412,0.09991329998334303,97182.58123646877,
7,12,batteryV0,installation,965.5582703930886,59.63841639069955,57584.36617918668,
7,13,grid,purchase,414355.79667716613,0.09691590098384273,40157.6653628455,
7,13,batteryV0,installation,52376.87786080717,57.849263898978556,3029963.829574402,
7,14,grid,purchase,103486.67439942517,0.09400842395432746,9728.619160564607,
7,14,batteryV0,installation,116341.51323703502,56.1137859820092,6528362.774606073,
7,15,batteryV0,installation,116341.51323703502,54.430372402548926,6332511.891367891,
8,11,grid,purchase,917648.7838715992,0.10300340204468354,94520.94662094126,
8,11,batteryV0,installation,29814.51510516302,111.95436350365729,3337865.0617687013,
8,12,grid,purchase,331992.7984116318,0.09991329998334303,33170.4960600109,
8,12,batteryV0,installation,63892.23078962108,108.59573259854756,6938423.609954378,
8,13,grid,purchase,169677.84790286914,0.09691590098384273,16444.481506505992,
8,13,batteryV0,installation,63892.23078962108,105.33786062059113,6730270.901655746,
8,14,grid,purchase,67261.1522858694,0.09400842395432746,6323.114919746591,
8,14,solarV5,installation,2.0,1796357.063689578,3592714.127379156,
8,14,batteryV0,installation,28730.808529122976,102.1777248019734,2935648.6472269176,
8,15,solarV5,installation,3.0,1742466.3517788907,5227399.055336672,
8,15,batteryV0,installation,11150.097398873928,99.11239305791419,1105112.8360312192,
9,11,grid,purchase,968910.9114684318,0.10300340204468354,99801.12015946365,
9,11,batteryV0,installation,27495.610007940333,61.482903495566546,1690509.9366699292,
9,12,grid,purchase,972669.1166508411,0.09991329998334303,97182.58123646876,
9,12,batteryV0,installation,965.5582703930886,59.63841639069955,57584.36617918668,
9,13,grid,purchase,414355.79667716613,0.09691590098384273,40157.6653628455,
9,13,batteryV0,installation,52376.87786080717,57.849263898978556,3029963.829574402,
9,14,grid,purchase,103486.67439942525,0.09400842395432746,9728.619160564615,
9,14,batteryV0,installation,116341.51323703502,56.1137859820092,6528362.774606073,
9,15,batteryV0,installation,116341.51323703502,54.430372402548926,6332511.891367891,
10,11,grid,purchase,3838186.1491682045,0.10300340204468354,395346.2310451083,
10,11,solarV5,installation,1.0,3058359.1125945216,3058359.1125945216,
10,11,batteryV0,installation,47061.38182706757,61.482903495566546,2893470.3972416045,
10,12,grid,purchase,1565881.6822605415,0.09991329998334303,156452.4062581193,
10,12,solarV5,installation,1.0,2966608.339216686,2966608.339216686,
10,12,batteryV0,installation,63256.59282153621,59.63841639069955,3772523.022147712,
10,13,grid,purchase,528640.829847919,0.09691590098384273,51233.70232155738,
10,13,solarV5,installation,1.0,2877610.0890401853,2877610.0890401853,
10,13,batteryV0,installation,66598.2685508914,57.849263898978556,3852660.812615561,
10,14,grid,purchase,290570.2880672608,0.09400842395432746,27316.05482915811,
10,14,batteryV0,installation,116341.51323703502,56.1137859820092,6528362.774606073,
10,15,windV0,installation,2.0,2283635.805149058,4567271.610298116,
10,15,batteryV0,installation,32431.16302814622,54.430372402548926,1765240.281069775,
11,11,grid,purchase,3258190.1538227685,0.10300340204468354,335604.6703522359,
11,11,solarV5,installation,1.0,3058359.1125945216,3058359.1125945216,
11,11,batteryV0,installation,80285.75387331231,33.76507448163609,2710854.4593466935,
11,12,grid,purchase,3248734.1561044357,0.09991329998334303,324591.7503049952,
11,12,batteryV0,installation,2182.010470622321,32.752122247187,71465.4736784643,
11,13,grid,purchase,1329758.5602490515,0.09691590098384273,128874.74895751436,
11,13,solarV5,installation,1.0,2877610.0890401853,2877610.0890401853,
11,13,batteryV0,installation,62034.74747688604,31.769558579771395,1970816.5439482566,
11,14,grid,purchase,311763.3900393914,0.09400842395432746,29308.384944261456,
11,14,solarV5,installation,1.0,2791281.7863689796,2791281.7863689796,
11,14,batteryV0,installation,121268.94375764675,30.81647182237825,3737080.9882370937,
11,15,windV0,installation,2.0,2283635.805149058,4567271.610298116,
11,15,batteryV0,installation,59053.98099426559,29.891977667706904,1765240.281069775,
12,11,grid,purchase,2468327.131543332,0.10300340204468354,254246.09190815827,
12,11,solarV5,installation,2.0,1968237.3245286958,3936474.6490573916,
12,11,batteryV0,installation,45733.257811707066,61.482903495566546,2811813.4765750505,
12,12,grid,purchase,1742361.5797719264,0.09991329998334303,174085.09519920393,
12,12,batteryV0,installation,39854.87813239956,59.63841639069955,2376881.8172606304,
12,13,grid,purchase,508514.7979399776,0.09691590098384273,49283.169805969665,
12,13,solarV5,installation,1.0,1851914.4986490496,1851914.4986490496,
12,13,batteryV0,installation,84328.7550127813,57.849263898978556,4878356.403006697,
12,14,grid,purchase,133784.61627938383,0.09400842395432746,12576.880925759335,
12,14,windV0,installation,1.0,2354263.7166485135,2354263.7166485135,
12,14,batteryV0,installation,74386.33813259062,56.1137859820092,4174099.05795756,
12,15,windV0,installation,1.0,2283635.805149058,2283635.805149058,
12,15,batteryV0,installation,74386.33813259062,54.430372402548926,4048876.086218833,
13,11,grid,purchase,1663955.4121816983,0.10300340204468354,171393.0683053786,
13,11,solarV5,installation,2.0,1968237.3245286958,3936474.6490573916,
13,11,batteryV0,installation,89676.08904527646,33.76507448163609,3027919.82583559,
13,12,grid,purchase,1673733.6273019873,0.09991329998334303,167228.2499968323,
13,12,batteryV0,installation,1435.027245976191,32.752122247187,47000.1877882563,
13,13,grid,purchase,1549034.4215560418,0.09691590098384273,150126.06662008946,
13,13,batteryV0,installation,14531.15255257569,31.769558579771395,461648.302250648,
